grid_id,grid_longitude,grid_latitude,park_fraction,original_grid_area_km2,park_area_km2,year,month,LST_C,rainfall_mm,VPD_kPa,soil_moisture_mm,wind_speed_ms,EVI,land_cover,slope_deg,gHM,fire_occurrence,fire_fraction,fire_valid_fraction,full_mapping,predictor_lag_months,land_cover_source_year,human_modification_epoch
KLNP_024_000,4.875000000000001,9.675,0.8432128000687731,30.47120143835844,25.69370708629785,2002,1,34.44920353982304,0.9747876614595937,2.569557522123894,75.01504424778763,2.1060176991150446,0.17309026548672568,12,0.3509770086041556,0.17775758467944325,1,0.4036906722563259,1.0,104.76862745098039,1,2001,2000
KLNP_025_000,4.925000000000001,9.675,0.7324432047907675,30.471201438359014,22.31842443533672,2002,1,33.25904522613068,2.3285062061482336,2.5353768844221105,69.58844221105528,2.1035175879396983,0.1724718592964824,9,0.22141575294917976,0.092740679356321,1,0.3488091649080494,1.0,91.05490196078435,1,2001,2000
KLNP_005_001,3.9250000000000003,9.725000000000001,0.5569525973039369,30.46665646863755,16.96848345137447,2002,1,37.13108974358977,0.0,2.6228205128205127,58.38205128205128,2.227179487179487,0.1509128205128205,12,0.2258473218487266,0.1548013700506626,0,0.0,1.0,69.2078431372549,1,2001,2000
KLNP_006_001,3.975,9.725000000000001,0.6878483911274467,30.466656468638586,20.95644063498567,2002,1,37.507021276595765,0.0,2.62,61.60425531914894,2.2442021276595745,0.14915957446808512,12,0.22102201146082104,0.10952799077680771,0,0.0,1.0,85.38039215686275,1,2001,2000
KLNP_007_001,4.025,9.725000000000001,0.9465547011561526,30.46665646863802,28.838356908898827,2002,1,37.21075510204084,1.6557746780161955,2.6062857142857143,68.47795918367346,2.225510204081633,0.14841591836734694,12,0.20483960859994083,0.08509687486351754,0,0.0,1.0,117.30980392156862,1,2001,2000
KLNP_020_001,4.675000000000001,9.725000000000001,0.5961574757358352,30.466656468638988,18.162925014454675,2002,1,34.64409090909094,1.4401098778753572,2.6451515151515155,107.53333333333336,2.1096969696969703,0.16756212121212125,10,0.7003567872660524,0.26256948709487915,1,0.20540111199364572,1.0,74.05882352941177,1,2001,2000
KLNP_021_001,4.7250000000000005,9.725000000000001,0.8367941931729057,30.466656468638305,25.49432121835028,2002,1,35.65873893805312,0.9438184884797154,2.6213716814159294,102.26592920353984,2.1570353982300885,0.2005203539823009,12,0.5414821142647622,0.23234189783049897,1,0.017368321691523504,1.0,103.86274509803921,1,2001,2000
KLNP_022_001,4.775,9.725000000000001,0.9971982713675143,30.466656468638252,30.38129716487396,2002,1,34.47363636363639,0.0,2.588774703557312,90.4098814229249,2.189881422924901,0.20196106719367588,12,0.20207639958919626,0.18938356732191305,1,0.04859148219900275,1.0,123.47843137254905,1,2001,2000
KLNP_023_001,4.825000000000001,9.725000000000001,1.0,30.466656468638853,30.466656468638853,2002,1,32.893440000000034,0.0,2.5586,84.03040000000001,2.1680800000000002,0.202193,10,0.24901125095625806,0.14075322777032853,1,0.37351647308288743,1.0,123.90980392156865,1,2001,2000
KLNP_024_001,4.875000000000001,9.725000000000001,1.0,30.466656468638245,30.466656468638245,2002,1,32.27128000000003,1.13058748626709,2.51864,78.312,2.14192,0.20387519999999998,9,0.32244187976168287,0.07246376287937165,1,0.6158374477781996,1.0,123.90588235294125,1,2001,2000
